crop,node,year,time,value
wheat,9|INDIA_EAST,2010,11,4.04707114237881
wheat,9|INDIA_EAST,2010,12,5.0757522841837
wheat,9|INDIA_EAST,2020,1,11.0738232600634
wheat,9|INDIA_EAST,2020,2,18.8924642424087
wheat,9|INDIA_EAST,2020,3,31.3306210284279
wheat,9|INDIA_EAST,2020,4,27.5802715457026
wheat,9|INDIA_EAST,2020,5,16.507706323205
wheat,9|INDIA_EAST,2020,11,4.04707114237881
wheat,9|INDIA_EAST,2020,12,5.0757522841837
wheat,9|INDIA_EAST,2030,1,11.0738232600634
wheat,9|INDIA_EAST,2030,2,18.8924642424087
wheat,9|INDIA_EAST,2030,3,31.3306210284279
wheat,9|INDIA_EAST,2030,4,27.5802715457026
wheat,9|INDIA_EAST,2030,5,16.507706323205
wheat,9|INDIA_EAST,2030,11,4.04707114237881
wheat,9|INDIA_EAST,2030,12,5.0757522841837
wheat,9|INDIA_EAST,2040,1,11.0738232600634
wheat,9|INDIA_EAST,2040,2,18.8924642424087
wheat,9|INDIA_EAST,2040,3,31.3306210284279
wheat,9|INDIA_EAST,2040,4,27.5802715457026
wheat,9|INDIA_EAST,2040,5,16.507706323205
wheat,9|INDIA_EAST,2040,11,4.04707114237881
wheat,9|INDIA_EAST,2040,12,5.0757522841837
wheat,9|INDIA_EAST,2050,1,11.0738232600634
wheat,9|INDIA_EAST,2050,2,18.8924642424087
wheat,9|INDIA_EAST,2050,3,31.3306210284279
wheat,9|INDIA_EAST,2050,4,27.5802715457026
wheat,9|INDIA_EAST,2050,5,16.507706323205
wheat,9|INDIA_EAST,2050,11,4.04707114237881
wheat,9|INDIA_EAST,2050,12,5.0757522841837
wheat,9|INDIA_EAST,2060,1,11.0738232600634
wheat,9|INDIA_EAST,2060,2,18.8924642424087
wheat,9|INDIA_EAST,2060,3,31.3306210284279
wheat,9|INDIA_EAST,2060,4,27.5802715457026
wheat,9|INDIA_EAST,2060,5,16.507706323205
wheat,9|INDIA_EAST,2060,11,4.04707114237881
wheat,9|INDIA_EAST,2060,12,5.0757522841837
wheat,10|INDIA_WEST,2010,1,1.23751314315381
wheat,10|INDIA_WEST,2010,2,2.1183082553656
wheat,10|INDIA_WEST,2010,3,4.65656592082253
wheat,10|INDIA_WEST,2010,4,7.16234315001734
wheat,10|INDIA_WEST,2010,5,6.12578565900011
wheat,10|INDIA_WEST,2010,11,0.799301770831736
wheat,10|INDIA_WEST,2010,12,0.734397506611459
wheat,10|INDIA_WEST,2020,1,1.23751314315381
wheat,10|INDIA_WEST,2020,2,2.1183082553656
wheat,10|INDIA_WEST,2020,3,4.65656592082253
wheat,10|INDIA_WEST,2020,4,7.16234315001734
wheat,10|INDIA_WEST,2020,5,6.12578565900011
wheat,10|INDIA_WEST,2020,11,0.799301770831736
wheat,10|INDIA_WEST,2020,12,0.734397506611459
wheat,10|INDIA_WEST,2030,1,1.23751314315381
wheat,10|INDIA_WEST,2030,2,2.1183082553656
wheat,10|INDIA_WEST,2030,3,4.65656592082253
wheat,10|INDIA_WEST,2030,4,7.16234315001734
wheat,10|INDIA_WEST,2030,5,6.12578565900011
wheat,10|INDIA_WEST,2030,11,0.799301770831736
wheat,10|INDIA_WEST,2030,12,0.734397506611459
wheat,10|INDIA_WEST,2040,1,1.23751314315381
wheat,10|INDIA_WEST,2040,2,2.1183082553656
wheat,10|INDIA_WEST,2040,3,4.65656592082253
wheat,10|INDIA_WEST,2040,4,7.16234315001734
wheat,10|INDIA_WEST,2040,5,6.12578565900011
wheat,10|INDIA_WEST,2040,11,0.799301770831736
wheat,10|INDIA_WEST,2040,12,0.734397506611459
wheat,10|INDIA_WEST,2050,1,1.23751314315381
wheat,10|INDIA_WEST,2050,2,2.1183082553656
wheat,10|INDIA_WEST,2050,3,4.65656592082253
wheat,10|INDIA_WEST,2050,4,7.16234315001734
wheat,10|INDIA_WEST,2050,5,6.12578565900011
wheat,10|INDIA_WEST,2050,11,0.799301770831736
wheat,10|INDIA_WEST,2050,12,0.734397506611459
wheat,10|INDIA_WEST,2060,1,1.23751314315381
wheat,10|INDIA_WEST,2060,2,2.1183082553656
wheat,10|INDIA_WEST,2060,3,4.65656592082253
wheat,10|INDIA_WEST,2060,4,7.16234315001734
wheat,10|INDIA_WEST,2060,5,6.12578565900011
wheat,10|INDIA_WEST,2060,11,0.799301770831736
wheat,10|INDIA_WEST,2060,12,0.734397506611459
wheat,11|INDIA_WEST,2010,1,1.17244132085722
wheat,11|INDIA_WEST,2010,2,2.07107322420361
wheat,11|INDIA_WEST,2010,3,5.24237410710416
wheat,11|INDIA_WEST,2010,4,8.18598213744644
wheat,11|INDIA_WEST,2010,5,7.6814397797775
wheat,11|INDIA_WEST,2010,11,1.03129411123823
wheat,11|INDIA_WEST,2010,12,0.88323572299695
wheat,11|INDIA_WEST,2020,1,1.17244132085722
wheat,11|INDIA_WEST,2020,2,2.07107322420361
wheat,11|INDIA_WEST,2020,3,5.24237410710416
wheat,11|INDIA_WEST,2020,4,8.18598213744644
wheat,11|INDIA_WEST,2020,5,7.6814397797775
wheat,11|INDIA_WEST,2020,11,1.03129411123823
wheat,11|INDIA_WEST,2020,12,0.88323572299695
wheat,11|INDIA_WEST,2030,1,1.17244132085722
wheat,11|INDIA_WEST,2030,2,2.07107322420361
wheat,11|INDIA_WEST,2030,3,5.24237410710416
wheat,11|INDIA_WEST,2030,4,8.18598213744644
wheat,11|INDIA_WEST,2030,5,7.6814397797775
wheat,11|INDIA_WEST,2030,11,1.03129411123823
wheat,11|INDIA_WEST,2030,12,0.88323572299695
wheat,11|INDIA_WEST,2040,1,1.17244132085722
wheat,11|INDIA_WEST,2040,2,2.07107322420361
wheat,11|INDIA_WEST,2040,3,5.24237410710416
wheat,11|INDIA_WEST,2040,4,8.18598213744644
wheat,11|INDIA_WEST,2040,5,7.6814397797775
wheat,11|INDIA_WEST,2040,11,1.03129411123823
wheat,11|INDIA_WEST,2040,12,0.88323572299695
wheat,11|INDIA_WEST,2050,1,1.17244132085722
wheat,11|INDIA_WEST,2050,2,2.07107322420361
wheat,11|INDIA_WEST,2050,3,5.24237410710416
wheat,11|INDIA_WEST,2050,4,8.18598213744644
wheat,11|INDIA_WEST,2050,5,7.6814397797775
wheat,11|INDIA_WEST,2050,11,1.03129411123823
wheat,11|INDIA_WEST,2050,12,0.88323572299695
wheat,11|INDIA_WEST,2060,1,1.17244132085722
wheat,11|INDIA_WEST,2060,2,2.07107322420361
wheat,11|INDIA_WEST,2060,3,5.24237410710416
wheat,11|INDIA_WEST,2060,4,8.18598213744644
wheat,11|INDIA_WEST,2060,5,7.6814397797775
wheat,11|INDIA_WEST,2060,11,1.03129411123823
wheat,11|INDIA_WEST,2060,12,0.88323572299695
wheat,12|PAKISTAN,2010,1,2.40953039939724
wheat,12|PAKISTAN,2010,2,3.82646240244742
wheat,12|PAKISTAN,2010,3,6.42593141962625
wheat,12|PAKISTAN,2010,4,5.79468449610968
wheat,12|PAKISTAN,2010,5,3.94593313799182
wheat,12|PAKISTAN,2010,11,0.81054183709751
wheat,12|PAKISTAN,2010,12,0.945929576603503
wheat,12|PAKISTAN,2020,1,2.40953039939724
wheat,12|PAKISTAN,2020,2,3.82646240244742
wheat,12|PAKISTAN,2020,3,6.42593141962625
wheat,12|PAKISTAN,2020,4,5.79468449610968
wheat,12|PAKISTAN,2020,5,3.94593313799182
wheat,12|PAKISTAN,2020,11,0.81054183709751
wheat,12|PAKISTAN,2020,12,0.945929576603503
wheat,12|PAKISTAN,2030,1,2.40953039939724
wheat,12|PAKISTAN,2030,2,3.82646240244742
wheat,12|PAKISTAN,2030,3,6.42593141962625
wheat,12|PAKISTAN,2030,4,5.79468449610968
wheat,12|PAKISTAN,2030,5,3.94593313799182
wheat,12|PAKISTAN,2030,11,0.81054183709751
wheat,12|PAKISTAN,2030,12,0.945929576603503
wheat,12|PAKISTAN,2040,1,2.40953039939724
wheat,12|PAKISTAN,2040,2,3.82646240244742
wheat,12|PAKISTAN,2040,3,6.42593141962625
wheat,12|PAKISTAN,2040,4,5.79468449610968
wheat,12|PAKISTAN,2040,5,3.94593313799182
wheat,12|PAKISTAN,2040,11,0.81054183709751
wheat,12|PAKISTAN,2040,12,0.945929576603503
wheat,12|PAKISTAN,2050,1,2.40953039939724
wheat,12|PAKISTAN,2050,2,3.82646240244742
wheat,12|PAKISTAN,2050,3,6.42593141962625
wheat,12|PAKISTAN,2050,4,5.79468449610968
wheat,12|PAKISTAN,2050,5,3.94593313799182
wheat,12|PAKISTAN,2050,11,0.81054183709751
wheat,12|PAKISTAN,2050,12,0.945929576603503
wheat,12|PAKISTAN,2060,1,2.40953039939724
wheat,12|PAKISTAN,2060,2,3.82646240244742
wheat,12|PAKISTAN,2060,3,6.42593141962625
wheat,12|PAKISTAN,2060,4,5.79468449610968
wheat,12|PAKISTAN,2060,5,3.94593313799182
wheat,12|PAKISTAN,2060,11,0.81054183709751
