model,scenario,region,variable,unit,year,value
MESSAGEix-Pakistan 1,LTS_nexus_debug,B21|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2055,15.5345105443181
MESSAGEix-Pakistan 1,LTS_nexus_debug,B21|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2060,12.5259822539252
MESSAGEix-Pakistan 1,LTS_nexus_debug,B21|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2070,11.6602066376556
MESSAGEix-Pakistan 1,LTS_nexus_debug,B22|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2025,3.1882663755405
MESSAGEix-Pakistan 1,LTS_nexus_debug,B22|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2030,3.7389422051167
MESSAGEix-Pakistan 1,LTS_nexus_debug,B22|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2035,4.398287113993501
MESSAGEix-Pakistan 1,LTS_nexus_debug,B22|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2040,5.267260184272399
MESSAGEix-Pakistan 1,LTS_nexus_debug,B22|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2045,5.705803399115299
MESSAGEix-Pakistan 1,LTS_nexus_debug,B22|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2050,5.5761656278421
MESSAGEix-Pakistan 1,LTS_nexus_debug,B22|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2055,5.2744747954331
MESSAGEix-Pakistan 1,LTS_nexus_debug,B22|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2060,4.2492738002525
MESSAGEix-Pakistan 1,LTS_nexus_debug,B22|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2070,3.9888593236749004
MESSAGEix-Pakistan 1,LTS_nexus_debug,B24|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2045,5.1765735334325
MESSAGEix-Pakistan 1,LTS_nexus_debug,B24|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2050,5.351588470997
MESSAGEix-Pakistan 1,LTS_nexus_debug,B24|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2055,5.4044742708477
MESSAGEix-Pakistan 1,LTS_nexus_debug,B24|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2060,4.795243825841
MESSAGEix-Pakistan 1,LTS_nexus_debug,B24|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2070,4.5296594151295
MESSAGEix-Pakistan 1,LTS_nexus_debug,B2|AFGHAN_NORTH,Water Extraction|Groundwater,MCM/yr,2025,0.5108756997324999
MESSAGEix-Pakistan 1,LTS_nexus_debug,B2|AFGHAN_NORTH,Water Extraction|Groundwater,MCM/yr,2030,0.5364189962363001
MESSAGEix-Pakistan 1,LTS_nexus_debug,B2|AFGHAN_NORTH,Water Extraction|Groundwater,MCM/yr,2035,0.6374986541848999
MESSAGEix-Pakistan 1,LTS_nexus_debug,B2|AFGHAN_NORTH,Water Extraction|Groundwater,MCM/yr,2040,0.8479639693783001
MESSAGEix-Pakistan 1,LTS_nexus_debug,B2|AFGHAN_NORTH,Water Extraction|Groundwater,MCM/yr,2045,0.8988758854842
MESSAGEix-Pakistan 1,LTS_nexus_debug,B2|AFGHAN_NORTH,Water Extraction|Groundwater,MCM/yr,2050,0.8566486766494
MESSAGEix-Pakistan 1,LTS_nexus_debug,B2|AFGHAN_NORTH,Water Extraction|Groundwater,MCM/yr,2055,0.81086303784
MESSAGEix-Pakistan 1,LTS_nexus_debug,B2|AFGHAN_NORTH,Water Extraction|Groundwater,MCM/yr,2060,0.6975787365719
MESSAGEix-Pakistan 1,LTS_nexus_debug,B2|AFGHAN_NORTH,Water Extraction|Groundwater,MCM/yr,2070,0.8010774031087
MESSAGEix-Pakistan 1,LTS_nexus_debug,B7|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2025,90.4031443147687
MESSAGEix-Pakistan 1,LTS_nexus_debug,B7|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2030,101.85989104929199
MESSAGEix-Pakistan 1,LTS_nexus_debug,B7|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2035,107.4492704146542
MESSAGEix-Pakistan 1,LTS_nexus_debug,B7|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2040,114.54795203947769
MESSAGEix-Pakistan 1,LTS_nexus_debug,B7|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2045,118.766432996684
MESSAGEix-Pakistan 1,LTS_nexus_debug,B7|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2050,116.4045688385762
MESSAGEix-Pakistan 1,LTS_nexus_debug,B7|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2055,112.10184291703621
MESSAGEix-Pakistan 1,LTS_nexus_debug,B7|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2060,103.276769365184
MESSAGEix-Pakistan 1,LTS_nexus_debug,B7|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2070,100.47382904837531
MESSAGEix-Pakistan 1,LTS_nexus_debug,B8|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2025,91.39421183581047
MESSAGEix-Pakistan 1,LTS_nexus_debug,B8|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2030,101.72480218540336
MESSAGEix-Pakistan 1,LTS_nexus_debug,B8|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2035,137.3652375950282
MESSAGEix-Pakistan 1,LTS_nexus_debug,B8|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2040,153.0660896196787
MESSAGEix-Pakistan 1,LTS_nexus_debug,B8|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2045,165.6262984838395
MESSAGEix-Pakistan 1,LTS_nexus_debug,B8|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2050,169.5483268230843
MESSAGEix-Pakistan 1,LTS_nexus_debug,B8|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2055,152.614037223199
MESSAGEix-Pakistan 1,LTS_nexus_debug,B8|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2060,129.2309154950394
MESSAGEix-Pakistan 1,LTS_nexus_debug,B8|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2070,112.5475912541151
MESSAGEix-Pakistan 1,LTS_nexus_debug,B9|INDIA_EAST,Water Extraction|Groundwater,MCM/yr,2025,107.67020223860175
MESSAGEix-Pakistan 1,LTS_nexus_debug,B9|INDIA_EAST,Water Extraction|Groundwater,MCM/yr,2030,123.69895465174187
MESSAGEix-Pakistan 1,LTS_nexus_debug,B9|INDIA_EAST,Water Extraction|Groundwater,MCM/yr,2035,154.2783964264963
MESSAGEix-Pakistan 1,LTS_nexus_debug,B9|INDIA_EAST,Water Extraction|Groundwater,MCM/yr,2040,184.01549278007627
MESSAGEix-Pakistan 1,LTS_nexus_debug,B9|INDIA_EAST,Water Extraction|Groundwater,MCM/yr,2045,192.7620585510939
MESSAGEix-Pakistan 1,LTS_nexus_debug,B9|INDIA_EAST,Water Extraction|Groundwater,MCM/yr,2050,355.0269953448426
MESSAGEix-Pakistan 1,LTS_nexus_debug,B9|INDIA_EAST,Water Extraction|Groundwater,MCM/yr,2055,201.71485815310658
MESSAGEix-Pakistan 1,LTS_nexus_debug,B9|INDIA_EAST,Water Extraction|Groundwater,MCM/yr,2060,202.23111827517
MESSAGEix-Pakistan 1,LTS_nexus_debug,B9|INDIA_EAST,Water Extraction|Groundwater,MCM/yr,2070,219.00057491898605
MESSAGEix-Pakistan 1,LTS_nexus_debug,B10|INDIA_WEST,Water Extraction|Fossil Groundwater,MCM/yr,2025,291.9014389507655
