model,scenario,region,variable,unit,year,value
MESSAGEix-Pakistan 1,LTS_nexus,B23|PAKISTAN,Water Extraction,MCM/yr,2025,69.86950289698851
MESSAGEix-Pakistan 1,LTS_nexus,B23|PAKISTAN,Water Extraction,MCM/yr,2030,80.31839637203338
MESSAGEix-Pakistan 1,LTS_nexus,B23|PAKISTAN,Water Extraction,MCM/yr,2035,88.78638807709589
MESSAGEix-Pakistan 1,LTS_nexus,B23|PAKISTAN,Water Extraction,MCM/yr,2040,96.75792810010263
MESSAGEix-Pakistan 1,LTS_nexus,B23|PAKISTAN,Water Extraction,MCM/yr,2045,124.37105001150384
MESSAGEix-Pakistan 1,LTS_nexus,B23|PAKISTAN,Water Extraction,MCM/yr,2050,151.29269880838072
MESSAGEix-Pakistan 1,LTS_nexus,B23|PAKISTAN,Water Extraction,MCM/yr,2055,169.25408236133848
MESSAGEix-Pakistan 1,LTS_nexus,B23|PAKISTAN,Water Extraction,MCM/yr,2060,186.61189202954188
MESSAGEix-Pakistan 1,LTS_nexus,B23|PAKISTAN,Water Extraction,MCM/yr,2070,240.76022854246403
MESSAGEix-Pakistan 1,LTS_nexus,B24|PAKISTAN,Water Extraction,MCM/yr,2045,10.11482559691407
MESSAGEix-Pakistan 1,LTS_nexus,B24|PAKISTAN,Water Extraction,MCM/yr,2050,44.92681009
MESSAGEix-Pakistan 1,LTS_nexus,B24|PAKISTAN,Water Extraction,MCM/yr,2055,49.153776944778556
MESSAGEix-Pakistan 1,LTS_nexus,B24|PAKISTAN,Water Extraction,MCM/yr,2060,52.20599698458738
MESSAGEix-Pakistan 1,LTS_nexus,B24|PAKISTAN,Water Extraction,MCM/yr,2070,115.12535856008654
MESSAGEix-Pakistan 1,LTS_nexus,B2|AFGHAN_NORTH,Water Extraction,MCM/yr,2025,383.80719729373766
MESSAGEix-Pakistan 1,LTS_nexus,B2|AFGHAN_NORTH,Water Extraction,MCM/yr,2030,483.66681236772683
MESSAGEix-Pakistan 1,LTS_nexus,B2|AFGHAN_NORTH,Water Extraction,MCM/yr,2035,642.9035577465272
MESSAGEix-Pakistan 1,LTS_nexus,B2|AFGHAN_NORTH,Water Extraction,MCM/yr,2040,800.4435105487089
MESSAGEix-Pakistan 1,LTS_nexus,B2|AFGHAN_NORTH,Water Extraction,MCM/yr,2045,1022.2266454420444
MESSAGEix-Pakistan 1,LTS_nexus,B2|AFGHAN_NORTH,Water Extraction,MCM/yr,2050,1241.4102841309598
MESSAGEix-Pakistan 1,LTS_nexus,B2|AFGHAN_NORTH,Water Extraction,MCM/yr,2055,1521.3461315039974
MESSAGEix-Pakistan 1,LTS_nexus,B2|AFGHAN_NORTH,Water Extraction,MCM/yr,2060,1798.3691452731198
MESSAGEix-Pakistan 1,LTS_nexus,B2|AFGHAN_NORTH,Water Extraction,MCM/yr,2070,2580.049945308948
MESSAGEix-Pakistan 1,LTS_nexus,B7|INDIA_WEST,Water Extraction,MCM/yr,2025,154.0126775
MESSAGEix-Pakistan 1,LTS_nexus,B7|INDIA_WEST,Water Extraction,MCM/yr,2030,189.60296127866843
MESSAGEix-Pakistan 1,LTS_nexus,B7|INDIA_WEST,Water Extraction,MCM/yr,2035,259.04981794812414
MESSAGEix-Pakistan 1,LTS_nexus,B7|INDIA_WEST,Water Extraction,MCM/yr,2040,326.92338624096544
MESSAGEix-Pakistan 1,LTS_nexus,B7|INDIA_WEST,Water Extraction,MCM/yr,2045,345.97857425374195
MESSAGEix-Pakistan 1,LTS_nexus,B7|INDIA_WEST,Water Extraction,MCM/yr,2050,363.68444998625444
MESSAGEix-Pakistan 1,LTS_nexus,B7|INDIA_WEST,Water Extraction,MCM/yr,2055,419.1750274
MESSAGEix-Pakistan 1,LTS_nexus,B7|INDIA_WEST,Water Extraction,MCM/yr,2060,474.2062518410463
MESSAGEix-Pakistan 1,LTS_nexus,B7|INDIA_WEST,Water Extraction,MCM/yr,2070,534.738812
MESSAGEix-Pakistan 1,LTS_nexus,B8|INDIA_WEST,Water Extraction,MCM/yr,2025,91.39421183581047
MESSAGEix-Pakistan 1,LTS_nexus,B8|INDIA_WEST,Water Extraction,MCM/yr,2030,101.72480218540336
MESSAGEix-Pakistan 1,LTS_nexus,B8|INDIA_WEST,Water Extraction,MCM/yr,2035,137.3652375950282
MESSAGEix-Pakistan 1,LTS_nexus,B8|INDIA_WEST,Water Extraction,MCM/yr,2040,153.0660896196787
MESSAGEix-Pakistan 1,LTS_nexus,B8|INDIA_WEST,Water Extraction,MCM/yr,2045,187.21666247893987
MESSAGEix-Pakistan 1,LTS_nexus,B8|INDIA_WEST,Water Extraction,MCM/yr,2050,224.57006093273586
MESSAGEix-Pakistan 1,LTS_nexus,B8|INDIA_WEST,Water Extraction,MCM/yr,2055,247.56087457772557
MESSAGEix-Pakistan 1,LTS_nexus,B8|INDIA_WEST,Water Extraction,MCM/yr,2060,270.2467085126738
MESSAGEix-Pakistan 1,LTS_nexus,B8|INDIA_WEST,Water Extraction,MCM/yr,2070,319.68047527406156
MESSAGEix-Pakistan 1,LTS_nexus,B9|INDIA_EAST,Water Extraction,MCM/yr,2025,107.67020223860175
MESSAGEix-Pakistan 1,LTS_nexus,B9|INDIA_EAST,Water Extraction,MCM/yr,2030,123.69895465174187
MESSAGEix-Pakistan 1,LTS_nexus,B9|INDIA_EAST,Water Extraction,MCM/yr,2035,154.2783964264963
MESSAGEix-Pakistan 1,LTS_nexus,B9|INDIA_EAST,Water Extraction,MCM/yr,2040,184.01549278007627
MESSAGEix-Pakistan 1,LTS_nexus,B9|INDIA_EAST,Water Extraction,MCM/yr,2045,192.7620585510939
MESSAGEix-Pakistan 1,LTS_nexus,B9|INDIA_EAST,Water Extraction,MCM/yr,2050,200.74859891834632
MESSAGEix-Pakistan 1,LTS_nexus,B9|INDIA_EAST,Water Extraction,MCM/yr,2055,394.47691670420045
MESSAGEix-Pakistan 1,LTS_nexus,B9|INDIA_EAST,Water Extraction,MCM/yr,2060,202.2311183
MESSAGEix-Pakistan 1,LTS_nexus,B9|INDIA_EAST,Water Extraction,MCM/yr,2070,219.00057491898605
