"scenario","model","node","time","tec","value"
"historical","ensemble","PAK_6","6","irrigation_sw_diversion",57.0232367628068
"historical","ensemble","PAK_6","7","irrigation_sw_diversion",60.3110158030999
"historical","ensemble","PAK_6","8","irrigation_sw_diversion",54.5626276469316
"historical","ensemble","PAK_6","9","irrigation_sw_diversion",40.9746721464563
"historical","ensemble","PAK_7","1","irrigation_sw_diversion",0.575659791433609
"historical","ensemble","PAK_7","10","irrigation_sw_diversion",1.519317853019
"historical","ensemble","PAK_7","11","irrigation_sw_diversion",0.742462427582961
"historical","ensemble","PAK_7","12","irrigation_sw_diversion",0.342791695960616
"historical","ensemble","PAK_7","2","irrigation_sw_diversion",0.703757739276275
"historical","ensemble","PAK_7","3","irrigation_sw_diversion",1.26105999126386
"historical","ensemble","PAK_7","4","irrigation_sw_diversion",1.6649339027429
"historical","ensemble","PAK_7","5","irrigation_sw_diversion",2.3299643340289
"historical","ensemble","PAK_7","6","irrigation_sw_diversion",2.7867984850612
"historical","ensemble","PAK_7","7","irrigation_sw_diversion",3.06653659448692
"historical","ensemble","PAK_7","8","irrigation_sw_diversion",3.09810350917329
"historical","ensemble","PAK_7","9","irrigation_sw_diversion",2.62064576698087
"historical","ensemble","PAK_8","1","irrigation_sw_diversion",0.0501723418224142
"historical","ensemble","PAK_8","10","irrigation_sw_diversion",0.217099894530849
"historical","ensemble","PAK_8","11","irrigation_sw_diversion",0.110397779180567
"historical","ensemble","PAK_8","12","irrigation_sw_diversion",0.0477270822105083
"historical","ensemble","PAK_8","2","irrigation_sw_diversion",0.0596003458491264
"historical","ensemble","PAK_8","3","irrigation_sw_diversion",0.135936260950631
"historical","ensemble","PAK_8","4","irrigation_sw_diversion",0.2817431124439
"historical","ensemble","PAK_8","5","irrigation_sw_diversion",0.397701906724437
"historical","ensemble","PAK_8","6","irrigation_sw_diversion",0.51751607950963
"historical","ensemble","PAK_8","7","irrigation_sw_diversion",0.462417137417892
"historical","ensemble","PAK_8","8","irrigation_sw_diversion",0.448587575372654
"historical","ensemble","PAK_8","9","irrigation_sw_diversion",0.383578510646696
"historical","ensemble","PAK_9","1","irrigation_sw_diversion",8.00295811689336
"historical","ensemble","PAK_9","10","irrigation_sw_diversion",13.5128851495578
"historical","ensemble","PAK_9","11","irrigation_sw_diversion",6.66181706798469
"historical","ensemble","PAK_9","12","irrigation_sw_diversion",3.73780591226963
"historical","ensemble","PAK_9","2","irrigation_sw_diversion",14.2180885146741
"historical","ensemble","PAK_9","3","irrigation_sw_diversion",21.6213629847997
"historical","ensemble","PAK_9","4","irrigation_sw_diversion",21.3150659640292
"historical","ensemble","PAK_9","5","irrigation_sw_diversion",22.3335756901743
"historical","ensemble","PAK_9","6","irrigation_sw_diversion",37.1670831695239
"historical","ensemble","PAK_9","7","irrigation_sw_diversion",42.2846879409262
"historical","ensemble","PAK_9","8","irrigation_sw_diversion",39.8299142506422
"historical","ensemble","PAK_9","9","irrigation_sw_diversion",28.8995210473224
"historical","gfdl-esm2m","AFG_1","1","irrigation_sw_diversion",1.25774057199764
"historical","gfdl-esm2m","AFG_1","10","irrigation_sw_diversion",0.945705749962746
"historical","gfdl-esm2m","AFG_1","11","irrigation_sw_diversion",0.809742751523828
"historical","gfdl-esm2m","AFG_1","12","irrigation_sw_diversion",0.686157070783182
"historical","gfdl-esm2m","AFG_1","2","irrigation_sw_diversion",1.68879303727669
"historical","gfdl-esm2m","AFG_1","3","irrigation_sw_diversion",2.7335810237019
"historical","gfdl-esm2m","AFG_1","4","irrigation_sw_diversion",2.81033840329272
"historical","gfdl-esm2m","AFG_1","5","irrigation_sw_diversion",2.44500447499794
"historical","gfdl-esm2m","AFG_1","6","irrigation_sw_diversion",1.94560333301561
"historical","gfdl-esm2m","AFG_1","7","irrigation_sw_diversion",2.37579826245419
"historical","gfdl-esm2m","AFG_1","8","irrigation_sw_diversion",2.55785125149868
"historical","gfdl-esm2m","AFG_1","9","irrigation_sw_diversion",1.89760719214384
"historical","gfdl-esm2m","AFG_2","1","irrigation_sw_diversion",2.80596101696684
"historical","gfdl-esm2m","AFG_2","10","irrigation_sw_diversion",4.06650129960454
"historical","gfdl-esm2m","AFG_2","11","irrigation_sw_diversion",2.60025075790188
"historical","gfdl-esm2m","AFG_2","12","irrigation_sw_diversion",1.99244559358948
"historical","gfdl-esm2m","AFG_2","2","irrigation_sw_diversion",3.11920209534833
"historical","gfdl-esm2m","AFG_2","3","irrigation_sw_diversion",8.07309011080245
"historical","gfdl-esm2m","AFG_2","4","irrigation_sw_diversion",9.30040204448741
"historical","gfdl-esm2m","AFG_2","5","irrigation_sw_diversion",10.938369638822
"historical","gfdl-esm2m","AFG_2","6","irrigation_sw_diversion",10.7514429435552
"historical","gfdl-esm2m","AFG_2","7","irrigation_sw_diversion",13.8749987301583
"historical","gfdl-esm2m","AFG_2","8","irrigation_sw_diversion",13.9867752409724
"historical","gfdl-esm2m","AFG_2","9","irrigation_sw_diversion",9.42893739055993
"historical","gfdl-esm2m","CHN_1","11","irrigation_sw_diversion",0
"historical","gfdl-esm2m","CHN_1","12","irrigation_sw_diversion",0
"historical","gfdl-esm2m","CHN_1","3","irrigation_sw_diversion",0
"historical","gfdl-esm2m","CHN_1","4","irrigation_sw_diversion",0
"historical","gfdl-esm2m","CHN_1","5","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_1","1","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_1","10","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_1","11","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_1","12","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_1","2","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_1","3","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_1","4","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_1","5","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_1","6","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_1","7","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_1","8","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_1","9","irrigation_sw_diversion",0
"historical","gfdl-esm2m","IND_2","1","irrigation_sw_diversion",0.0339730716160227
"historical","gfdl-esm2m","IND_2","10","irrigation_sw_diversion",0.098341450517403
"historical","gfdl-esm2m","IND_2","11","irrigation_sw_diversion",0.0464022629476736
"historical","gfdl-esm2m","IND_2","12","irrigation_sw_diversion",0.023412781956103
"historical","gfdl-esm2m","IND_2","2","irrigation_sw_diversion",0.0586168788093283
"historical","gfdl-esm2m","IND_2","3","irrigation_sw_diversion",0.126088826147252
"historical","gfdl-esm2m","IND_2","4","irrigation_sw_diversion",0.154038678964797
"historical","gfdl-esm2m","IND_2","5","irrigation_sw_diversion",0.123331576681134
"historical","gfdl-esm2m","IND_2","6","irrigation_sw_diversion",0.0543669632306664
"historical","gfdl-esm2m","IND_2","7","irrigation_sw_diversion",0.0132542239670049
"historical","gfdl-esm2m","IND_2","8","irrigation_sw_diversion",0.0495486193321859
"historical","gfdl-esm2m","IND_2","9","irrigation_sw_diversion",0.146400151641958
"historical","gfdl-esm2m","IND_3","1","irrigation_sw_diversion",1.75677133838909
"historical","gfdl-esm2m","IND_3","10","irrigation_sw_diversion",3.20608096971152
"historical","gfdl-esm2m","IND_3","11","irrigation_sw_diversion",1.8388646552529
"historical","gfdl-esm2m","IND_3","12","irrigation_sw_diversion",1.18950761519784
"historical","gfdl-esm2m","IND_3","2","irrigation_sw_diversion",3.56247938390846
"historical","gfdl-esm2m","IND_3","3","irrigation_sw_diversion",5.90294427003207
"historical","gfdl-esm2m","IND_3","4","irrigation_sw_diversion",6.85328561907011
"historical","gfdl-esm2m","IND_3","5","irrigation_sw_diversion",6.30880624226496
